# log_X, log_likelihood, tiebreaker, accepts, tries, exceeds, visits
0 -1.79769313486e+308 0 41773 43941 10222 32989
-1.10334584174 -312.798385724 0.204656501295 38620 43860 15324 41001
-2.09268256887 -193.094628188 0.822527779498 36316 43632 16783 46269
-3.10251017768 -183.403054727 0.871929643471 34643 43560 18007 47173
-4.07642749826 -181.134092163 0.553124291789 33264 43633 15343 49629
-5.19721778198 -180.474791692 0.270610214972 31758 43807 17197 46678
-6.19619409119 -180.347050415 0.896847435553 30131 43784 16391 53530
-7.32636446664 -180.316819781 0.110460376099 26002 43467 17429 50946
-8.37798075727 -180.272253487 0.791806653387 25356 43323 21060 54994
-9.34838058938 -180.165153399 0.0577725816678 25007 43048 19438 59854
-10.4403432789 -179.927500262 0.930836595267 25172 42876 18791 54614
-11.4888762117 -179.619667205 0.144084255735 24740 42822 19360 54911
-12.5198548479 -179.315050783 0.120365630123 23867 42653 19047 57543
-13.597149655 -179.042292288 0.706284738302 23421 42452 17479 57368
-14.7334049918 -178.759151201 0.42975746859 23231 42723 19080 54219
-15.7656383573 -178.536165578 0.358397290572 22135 42721 19011 55539
-16.818113952 -178.344441013 0.528482499436 21508 42759 18665 53985
-17.8630113602 -178.196095497 0.922751872535 20490 42719 17775 51235
-18.9048302674 -178.098083744 0.986998720297 19403 42886 15948 56465
-20.0929701917 -178.031329442 0.704059801285 18979 43041 15423 53758
-21.2678508497 -177.980192174 0.795976005471 18424 43179 17265 47113
-22.2705643491 -177.943615091 0.438199951065 17742 43347 20355 47932
-23.1671847739 -177.919121023 0.745043189314 16518 43182 20545 50836
-24.098832646 -177.901674317 0.278081137794 16639 43255 0 0
